"Esco_Level_1","Esco_Level_2","REGION0","Esco_code","Popn","formal","non-formal","on_job"
"Elementary occupations","Agricultural, forestry and fishery labourers","DE",3,66014.585,0,25.3596268014,25.3596268014
"Elementary occupations","Cleaners and helpers","DE",3,1064201.82,0.4812462807,7.7643574834,2.6321426977
"Elementary occupations","Food preparation assistants","DE",3,337028.7,19.0685829488,13.1317684419,5.9388661453
"Elementary occupations","Labourers in mining, construction, manufacturing and transport","DE",3,907093.79,14.1258535546,19.6202408078,11.639154299
"Elementary occupations","Refuse workers and other elementary workers","DE",3,576646.88,12.3834103379,22.5414688942,12.901912614
"Elementary occupations","Street and related sales and service workers","DE",3,0,0,0,0
"Elementary occupations","Agricultural, forestry and fishery labourers","IE",3,8445.036,24.4829464718,6.0437933497,0
"Elementary occupations","Cleaners and helpers","IE",3,38227.98,22.1469213794,40.1414723377,30.7929670974
"Elementary occupations","Food preparation assistants","IE",3,21187.15,23.2701608486,46.4689479656,34.4070845058
"Elementary occupations","Labourers in mining, construction, manufacturing and transport","IE",3,43870.13,15.5182250172,49.6892030227,36.6877409686
"Elementary occupations","Refuse workers and other elementary workers","IE",3,31401.35,12.5680168575,36.6282749037,32.9466063529
"Elementary occupations","Street and related sales and service workers","IE",3,0,0,0,0
"Elementary occupations","Agricultural, forestry and fishery labourers","IT",3,346220.986,1.9757502604,8.5284378518,5.1071926026
"Elementary occupations","Cleaners and helpers","IT",3,890375.3,4.9340241628,14.2781645578,9.555236893
"Elementary occupations","Food preparation assistants","IT",3,138469.3,24.6644838099,12.3226654218,12.3226654218
"Elementary occupations","Labourers in mining, construction, manufacturing and transport","IT",3,688931.93,2.4800714999,36.1886739524,26.3538674081
"Elementary occupations","Refuse workers and other elementary workers","IT",3,123760.19,25.5154128438,4.1445002267,4.1445002267
"Elementary occupations","Street and related sales and service workers","IT",3,64276.49,0,0,0
"Elementary occupations","Agricultural, forestry and fishery labourers","UK",3,62598.422,17.4349530716,39.6609987016,39.1528390949
"Elementary occupations","Cleaners and helpers","UK",3,856760.73,7.4553572543,36.2166776347,27.8634934106
"Elementary occupations","Food preparation assistants","UK",3,0,0,0,0
"Elementary occupations","Labourers in mining, construction, manufacturing and transport","UK",3,1026011.94,11.5121377257,33.383286825,23.8040398629
"Elementary occupations","Refuse workers and other elementary workers","UK",3,386160.42,18.3122924848,39.0908099681,31.0737083418
"Elementary occupations","Street and related sales and service workers","UK",3,0,0,0,0
"Managers","Administrative and commercial managers","CZ",4,65099.96,11.5647140302,81.7065792122,59.3266516674
"Managers","Chief executives, senior officials and legislators","CZ",4,30701.229,12.1391179184,62.7490491244,34.9441096426
"Managers","Hospitality, retail and other services managers","CZ",4,100186.4,2.989346423,47.7317231333,40.0253549318
"Managers","Production and specialised services managers","CZ",4,133639.31,6.9810323951,68.3856743658,62.4985486833
"Managers","Administrative and commercial managers","DE",4,216799.98,3.1064726382,83.928727068,57.8075279109
"Managers","Chief executives, senior officials and legislators","DE",4,111810.987,0,65.6895776724,33.6424977532
"Managers","Hospitality, retail and other services managers","DE",4,192049.34,5.9025180904,53.5591385463,28.6814690229
"Managers","Production and specialised services managers","DE",4,1128247.45,3.0223514535,79.0825945664,58.5490116486
"Managers","Administrative and commercial managers","IE",4,20545.32,28.6143056652,72.2879727095,35.4545445879
"Managers","Chief executives, senior officials and legislators","IE",4,2844.842,0,88.7564273947,42.0056079093
"Managers","Hospitality, retail and other services managers","IE",4,60839.47,9.0198545845,49.5250097693,34.7571379242
"Managers","Production and specialised services managers","IE",4,45405.24,16.6558148315,66.2699198417,51.0236221771
"Managers","Administrative and commercial managers","IT",4,79444.88,10.8572823234,46.0886767665,38.5343082105
"Managers","Chief executives, senior officials and legislators","IT",4,21607.599,0,6.9057545983,0
"Managers","Hospitality, retail and other services managers","IT",4,239875.23,6.2905160401,16.3782809611,13.1983995002
"Managers","Production and specialised services managers","IT",4,278747.51,10.6724989895,21.375406799,11.2998206839
"Managers","Administrative and commercial managers","UK",4,1100661.16,17.8780360301,73.7217071239,50.7181224261
"Managers","Chief executives, senior officials and legislators","UK",4,60059.44,22.1198947887,59.5483926285,45.2124282048
"Managers","Hospitality, retail and other services managers","UK",4,693416.99,21.025598255,56.0884772064,38.0632413933
"Managers","Production and specialised services managers","UK",4,928936.23,17.0244104664,76.445322273,56.6174629018
"Plant and machine operators, and assemblers","Assemblers","CZ",5,124949.52,6.8146337141,36.7719572604,30.137725041
"Plant and machine operators, and assemblers","Drivers and mobile plant operators","CZ",5,306198.63,5.4191451083,60.1596907685,56.3732473985
"Plant and machine operators, and assemblers","Stationary plant and machine operators","CZ",5,282080.62,5.7868263795,55.8922416269,53.9581634448
"Plant and machine operators, and assemblers","Assemblers","DE",5,383673.78,4.9312522275,53.0455623185,46.7387811864
"Plant and machine operators, and assemblers","Drivers and mobile plant operators","DE",5,1256581.69,5.1411992625,48.1471151745,40.7581401062
"Plant and machine operators, and assemblers","Stationary plant and machine operators","DE",5,1494552.89,7.5929378233,39.5881602749,28.2083772176
"Plant and machine operators, and assemblers","Assemblers","IE",5,10020.49,5.8357061824,35.8719301216,35.8719301216
"Plant and machine operators, and assemblers","Drivers and mobile plant operators","IE",5,68687.65,7.2312293036,53.2908461678,36.4834713213
"Plant and machine operators, and assemblers","Stationary plant and machine operators","IE",5,28436.68,13.4057123653,51.8760418629,35.9047859838
"Plant and machine operators, and assemblers","Assemblers","IT",5,397044.13,0.9927657711,17.4955928156,10.3537440879
"Plant and machine operators, and assemblers","Drivers and mobile plant operators","IT",5,967849.29,1.2772946295,20.5053745329,20.5053745329
"Plant and machine operators, and assemblers","Stationary plant and machine operators","IT",5,887560.39,0.9008451185,17.1571101574,17.1571101574
"Plant and machine operators, and assemblers","Assemblers","UK",5,77642.57,23.6039056872,35.8570351161,30.3678459355
"Plant and machine operators, and assemblers","Drivers and mobile plant operators","UK",5,1049437.18,7.5425499782,49.3721511246,41.2259216827
"Plant and machine operators, and assemblers","Stationary plant and machine operators","UK",5,601453.45,7.3307895094,49.8940838518,41.7118208447
"Professionals","Business and administration professionals","CZ",6,81375.95,17.1275104448,88.2565107629,70.3806456448
"Professionals","Health professionals","CZ",6,60514.32,7.8644294543,66.4778979308,57.570678339
"Professionals","Information and communications technology professionals","CZ",6,52159.36,18.8548045321,64.8369133614,46.9249368626
"Professionals","Legal, social and cultural professionals","CZ",6,77629.33,13.2285168588,71.7568492632,40.1564100914
"Professionals","Science and engineering professionals","CZ",6,129477.86,5.4198869931,73.2880232245,59.7263987059
"Professionals","Teaching professionals","CZ",6,218985.2,20.4591005767,82.7237765202,71.2873508375
"Professionals","Business and administration professionals","DE",6,1338297.73,10.6920729363,77.6758143805,59.7761525673
"Professionals","Health professionals","DE",6,609633.05,13.2148727026,88.4904739698,62.7249264119
"Professionals","Information and communications technology professionals","DE",6,495096.27,14.0920399465,75.8602797564,61.9667437833
"Professionals","Legal, social and cultural professionals","DE",6,1204557.56,16.7773535099,68.9143661936,42.4013098294
"Professionals","Science and engineering professionals","DE",6,1429103.11,8.81227253,71.9243284001,55.9348034729
"Professionals","Teaching professionals","DE",6,1518192,7.3627244798,81.8929105229,65.23936026
"Professionals","Business and administration professionals","IE",6,88666.51,25.6880084635,70.7373993735,51.9515343191
"Professionals","Health professionals","IE",6,91247.75,22.797726681,84.3016403775,70.0372675758
"Professionals","Information and communications technology professionals","IE",6,30856.76,4.6502988096,79.4640562118,64.8871421497
"Professionals","Legal, social and cultural professionals","IE",6,38578.87,21.9255777325,63.0342450349,40.5267553967
"Professionals","Science and engineering professionals","IE",6,46713.21,28.0386035864,74.2551346608,53.6221192633
"Professionals","Teaching professionals","IE",6,89101.3,25.498952701,86.3450022199,63.0471871636
"Professionals","Business and administration professionals","IT",6,524538.72,17.2311401468,60.6395667654,38.4318139181
"Professionals","Health professionals","IT",6,411809.84,13.0144890268,76.3836587462,40.0878691284
"Professionals","Information and communications technology professionals","IT",6,123265.34,24.3993681636,51.9459672393,18.3940998735
"Professionals","Legal, social and cultural professionals","IT",6,381401.46,12.2047010195,52.6270379127,25.2339664115
"Professionals","Science and engineering professionals","IT",6,386749.72,6.4702485222,52.5862314275,26.6612875828
